,Application ID,No of times 90 DPD or worse in last 6 months,No of times 60 DPD or worse in last 6 months,No of times 30 DPD or worse in last 6 months,No of times 90 DPD or worse in last 12 months,No of times 60 DPD or worse in last 12 months,No of times 30 DPD or worse in last 12 months,Avgas CC Utilization in last 12 months,No of trades opened in last 6 months,No of trades opened in last 12 months,No of PL trades opened in last 6 months,No of PL trades opened in last 12 months,No of Inquiries in last 6 months (excluding home & auto loans),No of Inquiries in last 12 months (excluding home & auto loans),Presence of open home loan,Outstanding Balance,Total No of Trades,Presence of open auto loan
19,537943379,0,0,0,0,0,0,12,0,1,0,0,0,0,0,4241,3,0
20,576841684,0,0,0,0,0,0,9,1,1,0,0,0,0,0,432179,1,1
21,817454930,0,0,0,0,0,0,6,1,2,0,0,0,0,1,3001160,4,0
22,754050473,0,0,0,0,0,1,14,1,1,0,0,0,0,1,3018537,3,0
23,939142798,0,0,0,0,0,1,11,0,1,0,0,0,0,1,2995441,3,0
24,587187261,0,0,0,0,0,1,6,0,1,0,0,0,0,1,3003132,3,0
25,78368564,0,0,0,0,0,1,3,1,1,0,0,0,0,1,3001262,3,0
26,372055158,0,0,0,0,0,1,5,1,2,0,0,0,0,1,2999103,2,0
27,712127806,0,0,0,0,0,1,10,1,2,0,0,0,0,0,242608,2,1
28,276451706,0,0,0,0,0,1,9,1,2,0,0,0,0,0,24796,3,0
29,474844986,0,0,0,0,0,1,10,1,1,0,0,0,0,1,3102474,2,1
30,450207946,0,0,0,0,0,1,5,0,0,0,0,0,0,1,3020116,1,0
31,818990114,0,0,0,0,0,1,9,0,1,0,0,0,0,1,2995319,1,0
32,815851233,0,0,0,0,0,1,2,1,2,0,0,0,0,0,964,3,0
33,255158903,0,0,0,0,0,1,7,1,2,0,0,0,0,1,3001476,4,0
34,980337675,0,0,0,0,0,1,2,0,1,0,0,0,0,1,2998087,4,0
35,877820556,0,0,0,0,0,1,13,0,1,0,0,0,0,1,2995458,3,0
36,578573806,0,0,0,0,0,1,12,1,1,0,0,0,0,1,3004146,3,0
37,411290180,0,0,0,0,0,1,14,1,1,0,0,0,0,1,3453305,2,1
38,126854196,0,0,0,0,0,1,11,0,1,0,0,0,0,1,3297067,2,1
39,973545215,0,0,0,0,0,1,4,0,1,0,0,0,0,1,3000967,2,0
40,417512737,0,0,0,0,0,1,0,1,2,0,0,0,0,0,10223,5,0
41,824199625,0,0,0,0,0,1,5,0,1,0,0,0,0,0,832486,4,1
42,28904105,0,0,0,0,0,1,6,0,1,0,0,0,0,0,12581,2,0
43,676472750,0,0,0,0,0,1,8,0,1,0,0,0,0,1,3615898,2,1
44,663049762,0,0,0,0,0,1,9,1,2,0,0,0,0,1,3007008,2,0
45,230209525,0,0,0,0,0,1,11,0,1,0,0,0,0,1,3003050,2,0
46,23174187,0,0,0,0,0,1,2,1,2,0,0,0,0,1,3007357,2,0
47,690596705,0,0,0,0,0,1,8,1,2,0,0,0,0,0,567412,3,1
48,223109009,0,0,0,0,0,1,11,1,1,0,0,0,0,1,3000259,1,0
49,28408728,0,0,0,0,0,1,9,1,2,0,0,0,0,1,3342968,4,1
50,510331027,0,0,0,0,0,1,5,1,2,0,0,0,0,1,3006693,4,0
51,952237403,0,0,0,0,0,1,6,1,1,0,0,0,0,1,2997523,2,0
52,231595248,0,0,0,0,0,1,6,1,1,0,0,0,0,1,3766001,3,1
53,418382739,0,0,0,0,0,1,11,1,1,0,0,0,0,1,3004333,3,0
54,97277643,0,0,0,0,0,1,6,1,2,0,0,0,0,1,2996358,3,0
55,804137508,0,0,0,0,0,1,8,0,0,0,0,0,0,0,14053,1,0
56,634559268,0,0,0,0,0,1,3,1,2,0,0,0,0,1,2995054,4,0
57,851345810,0,0,0,0,0,1,6,1,1,0,0,0,0,1,3011643,3,0
58,59996929,0,0,0,0,0,1,8,0,0,0,0,0,0,1,3013413,2,0
59,969062742,0,0,0,0,0,1,5,0,1,0,0,0,0,1,2994538,3,0
60,263198025,0,0,0,0,0,1,3,1,1,0,0,0,0,1,3300502,2,1
61,72180426,0,0,0,0,0,1,8,1,2,0,0,0,0,1,3695827,4,1
62,944793658,0,0,0,0,0,1,3,1,2,0,0,0,0,0,1301,4,0
63,539924921,0,0,0,0,0,1,9,0,1,0,0,0,0,1,3012180,1,0
64,229275135,0,0,0,0,0,1,6,1,2,0,0,0,0,1,3166096,3,1
65,261333507,0,0,0,0,0,1,11,1,2,0,0,0,0,1,3007966,5,0
66,299836432,0,0,0,0,0,1,10,0,1,0,0,0,0,1,2998800,4,0
68,676809595,0,0,0,0,0,1,11,1,2,0,0,0,0,0,13968,4,0
69,246120697,0,0,0,0,0,1,10,1,2,0,0,0,0,1,3841376,3,1
70,942453948,0,0,0,0,0,1,8,1,2,0,0,0,0,1,2993649,4,0
71,714943699,0,0,0,0,0,1,6,1,2,0,0,0,0,1,3773657,4,1
72,898561748,0,0,0,0,0,1,4,1,1,0,0,0,0,0,2017,2,0
73,913140909,0,0,0,0,0,1,10,1,2,0,0,0,0,0,773015,3,1
74,975085624,0,0,0,0,0,1,5,1,2,0,0,0,0,1,2997967,2,0
76,335496361,0,0,0,0,0,1,10,1,1,0,0,0,0,1,3005641,1,0
77,139842806,0,0,0,0,0,1,15,0,1,0,0,0,0,0,3049,2,0
79,377122230,0,0,0,0,0,1,3,1,2,0,0,0,0,1,3832358,2,1
80,187398899,0,0,0,0,0,1,5,1,1,0,0,0,0,0,1259,1,0
81,686414499,0,0,0,0,0,1,5,0,1,0,0,0,0,0,9596,2,0
82,447527267,0,0,0,0,0,1,7,1,1,0,0,0,0,1,3504630,4,1
83,829997871,0,0,0,0,0,1,13,1,2,0,0,0,0,0,4813,3,0
84,484468249,0,0,0,0,0,1,7,1,1,0,0,0,0,1,2994667,2,0
85,270870452,0,0,0,0,0,1,8,0,1,0,0,0,0,0,6483,2,0
86,995659690,0,0,0,0,0,1,15,0,1,0,0,0,0,0,11585,3,0
87,720068644,0,0,0,0,0,0,8,0,1,0,0,0,0,1,3632504,2,1
88,665633706,0,0,0,0,0,0,10,0,0,0,0,0,0,1,3175765,2,1
89,290948662,0,0,0,0,0,0,12,0,1,0,0,0,0,0,741731,3,1
90,37609385,0,0,0,0,0,0,7,1,2,0,0,0,0,1,2999405,5,0
91,950296030,0,0,0,0,0,0,11,0,1,0,0,0,0,0,2490,4,0
92,47509215,0,0,0,0,0,0,7,0,1,0,0,0,0,0,4420,3,0
93,841163519,0,0,0,0,0,0,8,0,1,0,0,0,0,1,3137683,3,1
94,552541920,0,0,0,0,0,0,10,0,0,0,0,0,0,0,459298,2,1
95,703718903,0,0,0,0,0,0,15,1,3,0,0,0,0,1,3742790,5,1
96,415294,0,0,0,0,0,0,11,1,1,0,0,0,0,1,2998528,1,0
97,639917916,0,0,0,0,0,0,4,1,2,0,0,0,0,1,3761632,4,1
98,291477332,0,0,0,0,0,0,6,1,1,0,0,0,0,0,227676,3,1
99,734302180,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3006914,1,0
100,898214744,0,0,0,0,0,0,3,1,2,0,0,0,0,1,3777680,2,1
101,504040605,0,0,0,0,0,0,4,1,1,0,0,0,0,1,2998570,2,0
102,757612963,0,0,0,0,0,0,11,0,1,0,0,0,0,1,3720196,1,1
103,372382604,0,0,0,0,0,0,5,1,2,0,0,0,0,0,3075,3,0
104,483063095,0,0,0,0,0,0,5,0,1,0,0,0,0,1,3004614,2,0
105,242945486,0,0,0,0,0,0,13,1,1,0,0,0,0,1,3004661,3,0
106,638367091,0,0,0,0,0,0,4,1,1,0,0,0,0,0,168843,4,1
107,204228510,0,0,0,0,0,0,4,1,1,0,0,0,0,0,6771,3,0
108,846804601,0,0,0,0,0,0,7,1,2,0,0,0,0,1,3809945,3,1
109,753920840,0,0,0,0,0,0,10,1,1,0,0,0,0,1,3013292,3,0
110,608997825,0,0,0,0,0,0,11,0,0,0,0,0,0,0,2918,2,0
111,243687802,0,0,0,0,0,0,8,1,1,0,0,0,0,0,634281,1,1
112,910832278,0,0,0,0,0,0,6,0,0,0,0,0,0,1,3007949,1,0
113,410188098,0,0,0,0,0,0,4,0,1,0,0,0,0,0,3594,2,0
114,838128115,0,0,0,0,0,0,8,0,1,0,0,0,0,1,2994256,1,0
115,96037400,0,0,0,0,0,0,6,0,0,0,0,0,0,1,3223028,2,1
116,985689740,0,0,0,0,0,0,5,1,2,0,0,0,0,1,2996886,3,0
117,442653005,0,0,0,0,0,0,3,0,1,0,0,0,0,1,3222208,3,1
118,25124967,0,0,0,0,0,0,3,1,2,0,0,0,0,1,3295697,4,1
119,657744163,0,0,0,0,0,0,5,0,1,0,0,0,0,1,2995333,2,0
120,927100662,0,0,0,0,0,0,5,1,2,0,0,0,0,0,23543,2,0
121,624372823,0,0,0,0,0,0,7,0,0,0,0,0,0,0,17821,2,1
122,788194400,0,0,0,0,0,0,7,1,1,0,0,0,0,1,3004710,2,0
123,890314557,0,0,0,0,0,0,4,1,1,0,0,0,0,1,2993736,3,0
124,978872522,0,0,0,0,0,0,4,1,2,0,0,0,0,1,3001454,4,0
125,666356311,0,0,0,0,0,0,10,0,0,0,0,0,0,1,3583295,1,1
126,785517573,0,0,0,0,0,0,2,0,1,0,0,0,0,1,3005355,2,0
127,851643331,0,0,0,0,0,0,10,1,2,0,0,0,0,0,9932,4,0
128,674581211,0,0,0,0,0,0,7,0,1,0,0,0,0,1,3014230,4,0
129,63688688,0,0,0,0,0,0,10,1,2,0,0,0,0,0,1443,4,0
130,740523134,0,0,0,0,0,0,8,1,2,0,0,0,0,0,563336,5,1
131,274251839,0,0,0,0,0,0,11,1,1,0,0,0,0,1,3646483,3,1
132,671402281,0,0,0,0,0,0,9,0,0,0,0,0,0,1,2993832,1,0
133,781513760,0,0,0,0,0,0,8,0,1,0,0,0,0,1,3111837,4,1
134,257007409,0,0,0,0,0,0,13,1,2,0,0,0,0,1,2995714,3,0
135,799702442,0,0,0,0,0,0,7,1,1,0,0,0,0,1,3019400,2,0
136,852632983,0,0,0,0,0,0,8,0,0,0,0,0,0,0,777515,1,1
137,513613043,0,0,0,0,0,0,7,1,2,0,0,0,0,0,11479,4,0
138,167815183,0,0,0,0,1,2,9,0,1,0,0,0,0,0,76058,2,1
139,537291350,0,0,0,0,1,2,4,0,0,0,0,0,0,0,11269,1,0
140,845835388,0,0,0,0,1,2,3,0,1,0,0,0,0,0,14261,2,0
141,923613300,0,0,0,0,1,2,6,1,1,0,0,0,0,1,3651274,2,1
142,239609037,0,0,0,0,1,2,12,1,2,0,0,0,0,0,9424,5,0
143,65381112,0,0,0,0,1,2,6,1,1,0,0,0,0,1,3834561,3,1
144,763449129,0,0,0,0,1,2,7,0,1,0,0,0,0,1,2992818,3,0
145,694501316,0,0,0,0,1,2,9,1,1,0,0,0,0,1,3010426,2,0
146,142586227,0,0,0,0,1,2,7,0,1,0,0,0,0,0,3832,4,0
147,37184163,0,0,0,0,1,2,1,0,1,0,0,0,0,1,3729782,2,1
148,92044169,0,0,0,0,1,2,7,1,1,0,0,0,0,0,10912,3,0
150,49503138,0,0,0,0,1,2,7,0,0,0,0,0,0,0,10776,3,0
151,386893064,0,0,0,0,1,2,9,1,2,0,0,0,0,0,7094,3,0
152,792005042,0,0,0,0,1,2,4,1,1,0,0,0,0,0,3305,3,0
153,951114135,0,0,0,0,1,2,12,1,2,0,0,0,0,0,8259,3,0
154,36383287,0,0,0,0,1,2,6,1,2,0,0,0,0,1,2992014,4,0
155,73999371,0,0,0,0,1,2,8,1,2,0,0,0,0,1,3003586,3,0
156,316181118,0,0,0,0,1,2,7,0,0,0,0,0,0,1,3206635,2,1
157,58911008,0,0,0,0,1,2,9,0,0,0,0,0,0,1,2998235,2,0
158,12828838,0,0,0,0,1,2,7,1,2,0,0,0,0,1,3894568,3,1
159,6821665,0,0,0,0,1,2,7,1,1,0,0,0,0,1,3790266,4,1
160,469007470,0,0,0,0,1,2,8,1,2,0,0,0,0,1,2999172,4,0
161,485154616,0,0,0,0,1,2,10,1,2,0,0,0,0,0,3174,4,0
162,925666948,0,0,0,0,1,2,5,1,2,0,0,0,0,0,11782,3,0
163,300806796,0,0,0,0,1,1,10,0,0,0,0,0,0,0,206534,1,1
164,306411477,0,0,0,0,1,1,7,0,0,0,0,0,0,1,2994550,1,0
165,716602738,0,0,0,0,1,1,13,1,1,0,0,0,0,1,3083753,2,1
166,51700621,0,0,0,0,1,1,8,1,2,0,0,0,0,1,3002450,3,0
167,625780313,0,0,0,0,1,1,12,1,1,0,0,0,0,1,3005171,3,0
168,820265039,0,0,0,0,1,1,12,0,1,0,0,0,0,0,670234,2,1
169,970833252,0,0,0,0,1,1,6,1,2,0,0,0,0,0,18170,4,0
170,638549140,0,0,0,0,1,1,11,0,0,0,0,0,0,1,3752657,1,1
172,12359984,0,0,0,0,1,1,13,0,0,0,0,0,0,1,3125297,1,1
173,511416724,0,0,0,0,1,1,7,0,1,0,0,0,0,0,15221,1,0
174,152882413,0,0,0,0,1,1,8,1,1,0,0,0,0,0,331073,2,1
175,903991761,0,0,0,0,1,1,10,1,2,0,0,0,0,1,3006333,4,0
176,424702845,0,0,0,0,1,1,11,1,1,0,0,0,0,1,2991671,2,0
177,85208703,0,0,0,0,1,1,6,0,0,0,0,0,0,1,2995979,1,0
178,626486729,0,0,0,0,1,1,9,1,1,0,0,0,0,1,3013676,3,0
179,94778163,0,0,0,0,1,1,9,1,1,0,0,0,0,1,3003167,3,0
180,931570971,0,0,0,0,1,1,6,1,1,0,0,0,0,1,3655503,3,1
181,738698604,0,0,0,0,1,1,7,0,1,0,0,0,0,0,12708,3,0
182,454397596,0,0,0,0,1,1,8,0,0,0,0,0,0,1,3380943,1,1
183,375849313,0,0,0,0,1,1,7,0,1,0,0,0,0,0,19632,3,0
184,654953904,0,0,0,0,1,1,3,1,1,0,0,0,0,1,3342741,4,1
185,821252302,0,0,0,0,1,1,2,1,1,0,0,0,0,1,3124605,2,1
186,93310130,0,0,0,0,1,1,9,0,1,0,0,0,0,0,518955,2,1
187,358869535,0,0,0,0,1,1,5,0,1,0,0,0,0,1,3457530,3,1
188,297326857,0,0,0,0,1,1,10,0,1,0,0,0,0,0,11265,3,0
189,610389469,0,0,0,0,1,1,7,1,1,0,0,0,0,0,20486,4,0
190,928919840,0,0,0,0,1,1,8,1,2,0,0,0,0,1,2997116,3,0
191,664046834,0,0,0,0,1,1,9,0,1,0,0,0,0,1,2994780,4,0
192,3512302,0,0,0,0,1,1,8,0,0,0,0,0,0,1,3005698,3,0
193,607681662,0,0,0,0,1,1,9,1,1,0,0,0,0,0,3827,3,0
194,917111281,0,0,0,0,1,1,4,1,1,0,0,0,0,0,5035,3,0
195,261174027,0,0,0,0,1,1,6,1,1,0,0,0,0,1,2993687,3,0
196,386992862,0,0,0,0,1,1,7,0,1,0,0,0,0,0,2818,3,0
197,118748072,0,0,0,0,1,1,3,1,2,0,0,0,0,0,12889,4,0
198,902482925,0,0,0,0,1,1,8,0,1,0,0,0,0,0,876802,4,1
199,636812926,0,0,0,0,1,1,8,1,2,0,0,0,0,0,872971,2,1
200,43793358,0,0,0,0,1,1,1,1,1,0,0,0,0,0,458490,2,1
201,727235790,0,0,0,0,1,1,11,1,1,0,0,0,0,0,197307,2,1
202,740390793,0,0,0,0,1,1,1,1,2,0,0,0,0,0,724429,3,1
203,110870585,0,0,0,0,1,1,7,1,1,0,0,0,0,0,8297,1,0
204,451417087,0,0,0,0,1,1,8,0,1,0,0,0,0,0,156747,3,1
205,962570346,0,0,0,0,1,1,5,1,1,0,0,0,0,1,2993573,2,0
206,201828698,0,0,0,0,1,1,12,1,2,0,0,0,0,0,20137,3,0
207,181248481,0,0,0,0,1,1,7,0,0,0,0,0,0,1,3424537,1,1
208,797770011,0,0,0,0,1,1,6,0,1,0,0,0,0,1,3000558,4,0
209,363083732,0,0,0,0,1,1,9,0,0,0,0,0,0,1,2999358,1,0
210,596259612,0,0,0,0,1,1,8,0,0,0,0,0,0,0,482,1,0
211,627605933,0,0,0,0,1,1,6,1,2,0,0,0,0,1,2993544,4,0
212,842044888,0,0,0,0,1,1,7,1,2,0,0,0,0,1,3366379,4,1
213,506714441,0,0,0,0,1,1,8,0,0,0,0,0,0,0,410063,1,1
215,231343682,0,0,0,0,1,1,13,0,0,0,0,0,0,0,6192,1,0
216,312810588,0,0,0,0,1,1,9,0,0,0,0,0,0,0,3284,1,0
217,579409437,0,0,0,0,1,1,6,1,1,0,0,0,0,0,18525,2,0
218,818024607,0,0,0,0,1,1,7,0,1,0,0,0,0,1,2995238,2,0
219,417910724,0,0,0,0,1,1,11,1,2,0,0,0,0,0,366860,3,1
220,397441875,0,0,0,0,1,1,10,0,0,0,0,0,0,0,13274,3,0
221,995611861,0,0,0,0,1,1,6,1,2,0,0,0,0,0,6556,3,0
222,117108588,0,0,0,0,1,1,12,0,1,0,0,0,0,1,3006494,3,0
223,680687947,0,0,0,0,1,1,5,1,2,0,0,0,0,1,3006643,3,0
224,609881561,0,0,0,0,0,0,7,0,1,0,0,0,0,1,3009396,2,0
225,425487366,0,0,0,0,0,0,3,0,0,0,0,0,0,0,14167,2,0
226,345908033,0,0,0,0,0,0,6,1,2,0,0,0,0,0,2891,4,0
227,398363105,0,0,0,0,0,0,10,0,0,0,0,0,0,0,12407,3,0
228,121200920,0,0,0,0,0,0,2,0,0,0,0,0,0,0,14947,3,0
229,100752550,0,0,0,0,0,0,7,0,1,0,0,0,0,0,3273,2,0
230,122140277,0,0,0,0,0,0,7,1,1,0,0,0,0,1,2998784,1,0
231,599094378,0,0,0,0,0,0,10,0,1,0,0,0,0,0,11907,4,0
232,933542432,0,0,0,0,0,0,6,0,1,0,0,0,0,0,2743,3,0
233,816982638,0,0,0,0,0,0,13,1,1,0,0,0,0,1,3001097,1,0
235,234607091,0,0,0,0,0,0,3,1,2,0,0,0,0,0,1277,3,0
236,935531457,0,0,0,0,0,0,10,1,1,0,0,0,0,0,4180,2,0
237,207206960,0,0,0,0,0,0,7,0,1,0,0,0,0,0,10297,3,0
238,200405820,0,0,0,0,0,0,10,1,2,0,0,0,0,1,3001528,2,0
239,460812872,0,0,0,0,0,0,10,1,2,0,0,0,0,0,12142,4,0
240,256627938,0,0,0,0,0,0,12,1,1,0,0,0,0,1,3008792,3,0
241,975816172,0,0,0,0,0,0,9,1,2,0,0,0,0,0,5929,3,0
242,80345957,0,0,0,0,0,0,7,1,2,0,0,0,0,1,2992779,2,0
243,591520571,0,0,0,0,0,0,13,1,1,0,0,0,0,1,2991821,2,0
245,557210073,0,0,0,0,0,0,7,1,1,0,0,0,0,0,4440,2,0
246,105783753,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2649,2,0
247,503636582,0,0,0,0,0,0,11,1,1,0,0,0,0,0,4415,3,0
248,515142397,0,0,0,0,0,0,4,1,2,0,0,0,0,0,18965,3,0
249,930294497,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3001447,2,0
250,15988053,0,0,0,0,0,0,9,1,1,0,0,0,0,1,2993697,2,0
251,245695711,0,0,0,0,0,0,6,0,0,0,0,0,0,1,3010630,1,0
252,857204056,0,0,0,0,0,0,11,1,1,0,0,0,0,1,3010815,3,0
253,804375768,0,0,0,0,0,0,7,1,2,0,0,0,0,1,3000505,3,0
254,545603460,0,0,0,0,0,0,9,1,2,0,0,0,0,1,2991921,4,0
255,635466046,0,0,0,0,0,0,5,0,1,0,0,0,0,1,2996085,1,0
256,374714024,0,0,0,0,0,0,4,0,1,0,0,0,0,0,3591,3,0
257,734320979,0,0,0,0,0,0,6,1,2,0,0,0,0,1,2995197,4,0
258,851446312,0,0,0,0,0,0,6,0,1,0,0,0,0,1,2996694,3,0
259,541997551,0,0,0,0,0,0,8,0,1,0,0,0,0,0,300639,2,1
260,316658575,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1105,3,0
261,871184719,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4418,2,0
262,188350076,0,0,0,0,0,0,11,0,1,0,0,0,0,0,3217,3,0
263,74266440,0,0,0,0,0,0,7,1,1,0,0,0,0,0,3319,1,0
264,437021868,0,0,0,0,0,0,7,0,0,0,0,0,0,0,12954,3,0
265,454446102,0,0,0,0,0,0,13,1,2,0,0,0,0,1,2992953,5,0
266,636061413,0,0,0,0,0,0,7,0,0,0,0,0,0,1,2998140,1,0
267,245212676,0,0,0,0,0,0,10,0,1,0,0,0,0,0,647468,4,1
268,328314807,0,0,0,0,0,0,13,1,2,0,0,0,0,1,3000648,4,0
269,538137041,0,0,0,0,0,0,12,1,2,0,0,0,0,1,3006412,4,0
270,405905855,0,0,0,0,0,0,12,1,2,0,0,0,0,1,2997846,4,0
271,903429706,0,0,0,0,0,0,7,1,2,0,0,0,0,1,3838432,3,1
272,207443506,0,0,0,0,0,0,5,1,2,0,0,0,0,1,3006638,5,0
273,498591301,0,0,0,0,0,0,5,1,2,0,0,0,0,1,3001748,3,0
274,553384326,0,0,0,0,0,0,1,1,1,0,0,0,0,0,16426,2,0
275,716669357,0,0,0,0,0,0,3,1,1,0,0,0,0,0,13228,3,0
276,249478631,0,0,0,0,0,0,7,1,1,0,0,0,0,0,13703,3,0
277,612747255,0,0,0,0,0,0,6,0,0,0,0,0,0,1,3324549,1,1
278,242563622,0,0,0,0,0,0,7,1,1,0,0,0,0,0,2547,3,0
279,856303356,0,0,0,0,0,0,13,1,2,0,0,0,0,0,7183,2,0
280,711573588,0,0,0,0,0,0,5,1,2,0,0,0,0,0,22531,3,0
281,275321732,0,0,0,0,0,0,5,1,1,0,0,0,0,0,3567,3,0
282,864762595,0,0,0,0,0,0,7,0,1,0,0,0,0,0,11463,3,0
283,490791674,0,0,0,0,0,0,9,1,1,0,0,0,0,1,3001433,4,0
284,338987573,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3006983,1,0
285,579385587,0,0,0,0,0,0,6,0,0,0,0,0,0,0,15397,2,0
286,509264233,0,0,0,0,0,0,7,1,1,0,0,0,0,0,12673,4,0
287,589757152,0,0,0,0,0,0,8,1,1,0,0,0,0,1,2991631,3,0
288,823601643,0,0,0,0,0,0,6,1,1,0,0,0,0,1,2994322,3,0
289,204725124,0,0,0,0,0,0,3,1,1,0,0,0,0,0,6168,3,0
290,783066956,0,0,0,0,0,0,9,0,0,0,0,0,0,0,10951,1,0
291,784096131,0,0,0,0,0,0,5,1,2,0,0,0,0,1,3002008,5,0
292,742973758,0,0,0,0,0,0,9,0,0,0,0,0,0,1,3006143,2,0
293,173912954,0,0,0,0,0,0,6,0,1,0,0,0,0,1,2993418,1,0
294,683633589,0,0,0,0,0,0,6,2,2,0,0,0,0,0,23468,4,0
295,750439861,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3353,2,0
296,277269233,0,0,0,0,0,0,4,1,2,0,0,0,0,0,14835,2,0
297,680131756,0,0,0,0,0,0,5,0,1,0,0,0,0,1,3384480,2,1
298,716349923,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3002720,3,0
299,802829199,0,0,0,0,0,0,7,1,1,0,0,0,0,1,3005259,3,0
300,208337793,0,0,0,0,0,0,5,1,1,0,0,0,0,0,21672,4,0
301,512747142,0,0,0,0,0,0,13,0,0,0,0,0,0,0,11864,2,0
302,757210556,0,0,0,0,0,0,5,1,2,0,0,0,0,1,3008097,3,0
303,666412974,0,0,0,0,0,0,10,1,2,0,0,0,0,0,2624,3,0
304,514841359,0,0,0,0,0,0,7,0,1,0,0,0,0,1,3350690,4,1
305,774116942,0,0,0,0,0,0,9,1,2,0,0,0,0,0,13687,3,0
306,806426151,0,0,0,0,0,0,3,1,1,0,0,0,0,1,2996354,4,0
307,216247312,0,0,0,0,0,0,6,0,1,0,0,0,0,0,407046,4,1
308,295936947,0,0,0,0,0,0,9,0,1,0,0,0,0,0,1402,4,0
309,421651546,0,0,0,0,0,0,8,1,2,0,0,0,0,1,3007770,5,0
310,838747117,0,0,0,0,0,0,11,0,0,0,0,0,0,1,2996389,3,0
311,806700044,0,0,0,0,0,0,7,1,2,0,0,0,0,1,2993450,3,0
312,192431553,0,0,0,0,0,0,11,0,0,0,0,0,0,0,9917,2,0
313,584758872,0,0,0,0,0,0,10,1,1,0,0,0,0,1,3757705,2,1
314,730909716,0,0,0,0,0,0,7,1,1,0,0,0,0,1,3003699,1,0
315,141509917,0,0,0,0,0,0,8,0,0,0,0,0,0,0,12740,2,0
316,622547610,0,0,0,0,0,0,8,0,1,0,0,0,0,0,3138,2,0
317,183303733,0,0,0,0,0,0,10,0,0,0,0,0,0,0,190570,2,1
318,902141383,0,0,0,0,0,0,5,0,1,0,0,0,0,1,2993103,4,0
319,778847419,0,0,0,0,0,0,7,1,1,0,0,0,0,1,2998446,3,0
320,26221006,0,0,0,0,0,0,3,1,2,0,0,0,0,1,2990689,3,0
321,272822166,0,0,0,0,0,0,7,0,1,0,0,0,0,0,2063,4,0
322,567521759,0,0,0,0,0,0,8,1,2,0,0,0,0,1,3308450,5,1
323,58031034,0,0,0,0,0,0,8,1,1,0,0,0,0,0,16662,2,0
324,154300197,0,0,0,0,0,0,8,0,0,0,0,0,0,0,9538,1,0
325,371679465,0,0,0,0,0,0,7,0,1,0,0,0,0,1,2994131,3,0
326,651753616,0,0,0,0,0,0,9,1,2,0,0,0,0,0,8884,3,0
327,197874946,0,0,0,0,0,0,10,1,2,0,0,0,0,0,21894,3,0
328,238592116,0,0,0,0,0,0,7,1,1,0,0,0,0,1,3003098,4,0
329,36978499,0,0,0,0,0,0,9,0,1,0,0,0,0,1,2992426,1,0
330,895541015,0,0,0,0,0,0,7,1,2,0,0,0,0,1,2990813,5,0
