activity_year,lei,derived_msa_md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open_end_line_of_credit,business_or_commercial_purpose,loan_amount,combined_loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co_applicant_credit_score_type,applicant_ethnicity_1
2020,549300LBCBNR1OT00651,41180,MO,29189,29189217852,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,32,1,2,2,2,335000,NA,3.25,NA,2,1989.1,NA,1155,,2239,360,NA,NA,2,2,2,2,425000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29189,29189215143,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,2,2,2,31,1,2,2,2,155000,NA,3,NA,2,4163.94,NA,1155,,3941.77,360,NA,NA,2,2,2,2,165000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29099,29099700504,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,32,1,2,2,2,255000,NA,2.625,NA,2,937.74,NA,0,,1006.74,180,NA,NA,2,2,2,2,385000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29189,29189218401,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,31,1,2,2,2,355000,NA,2.75,NA,2,1653.13,NA,1155,,1713.13,240,NA,NA,2,2,2,2,605000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29189,29189221424,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,31,1,2,2,2,255000,NA,2.75,NA,2,1068.5,NA,550,,,240,NA,NA,2,2,2,2,375000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29189,29189221624,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,1,2,1,32,1,2,2,2,325000,NA,2.75,NA,2,2174.95,NA,1155,,500,180,NA,NA,2,2,2,2,405000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29510,29510105200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,31,1,2,2,2,265000,NA,2.75,NA,2,1698.12,NA,750,,,240,NA,NA,2,2,2,2,305000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29183,29183311114,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,32,1,2,2,2,175000,NA,3,NA,2,1510.2,NA,1155,,1889,180,NA,NA,2,2,2,2,295000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29183,29183311149,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,1,1,2,2,2,105000,NA,3,NA,2,2657.9,NA,850,,,360,NA,NA,2,2,2,2,175000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29189,29189219400,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,31,1,2,2,2,155000,NA,2.375,NA,2,1681.85,NA,1155,,605,180,NA,NA,2,2,2,2,405000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29183,29183311145,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,31,1,2,2,2,215000,NA,2.75,NA,2,541.28,NA,0,,,360,NA,NA,2,2,2,2,325000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29189,29189221421,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,31,1,2,2,2,225000,NA,2.25,NA,2,911.81,NA,0,,980.81,120,NA,NA,2,2,2,2,475000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,28140,MO,29095,29095009200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,1,2,1,31,1,2,2,2,285000,NA,3,NA,2,2343,NA,1295,,1800,360,NA,NA,2,2,2,2,325000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,99999,MO,29117,29117480100,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,2,2,2,1,1,2,2,2,185000,NA,2.875,NA,2,5712.16,NA,895,,1145,360,NA,NA,2,2,2,2,185000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,28140,MO,29095,29095014204,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,32,1,2,2,2,515000,NA,2.5,NA,2,2422.43,NA,1063.43,168.43,895,180,NA,NA,2,2,2,2,805000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29113,29113810303,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,1,2,1,31,1,2,2,2,405000,NA,2.625,NA,2,1679,NA,895,,2009,360,NA,NA,2,2,2,2,455000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29183,29183312205,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,31,1,2,2,2,235000,NA,3.375,NA,2,2771.2,NA,1410,,2500,360,NA,NA,2,2,2,2,265000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,28140,MO,29095,29095013612,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,31,1,2,2,2,185000,NA,2.875,NA,2,2436.63,NA,1188,,,240,NA,NA,2,2,2,2,305000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29183,29183311732,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,32,1,2,2,2,225000,NA,3,NA,2,3738.6,NA,1876,,,180,NA,NA,2,2,2,2,275000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29189,29189215400,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,32,1,2,2,2,445000,NA,2.75,NA,2,3261.15,NA,1876,,3.6,240,NA,NA,2,2,2,2,755000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29071,29071800100,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,1,2,1,31,1,2,2,2,275000,NA,2.5,NA,2,2678.96,NA,1188,,195.27,180,NA,NA,2,2,2,2,435000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29183,29183312193,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,31,1,2,2,2,205000,NA,2.875,NA,2,2403.83,NA,1188,,1.33,240,NA,NA,2,2,2,2,285000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29183,29183312205,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,31,1,2,2,2,325000,NA,2.875,NA,2,2478.31,NA,1188,,3.18,240,NA,NA,2,2,2,2,485000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29183,29183311736,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,32,1,2,2,2,275000,NA,3.125,NA,2,4469.68,NA,2576.5,1388.5,599.08,180,NA,NA,2,2,2,2,365000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29189,29189217931,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,1,2,1,32,1,2,2,2,105000,NA,2.5,NA,2,2533.69,NA,1323.63,135.63,2.88,120,NA,NA,2,2,2,2,255000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,28140,MO,29095,29095014004,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,32,1,2,2,2,185000,NA,3.125,NA,2,4863.4,NA,2988,1800,1734,240,NA,NA,2,2,2,2,225000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,28140,MO,29037,29037060301,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,1,2,1,31,1,2,2,2,285000,NA,2.375,NA,2,2687.91,NA,1188,,8674.03,168,NA,NA,2,2,2,2,505000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,28140,MO,29037,29037060600,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,31,1,2,2,2,155000,NA,2.75,NA,2,2615.83,NA,1188,,1.8,240,NA,NA,2,2,2,2,295000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29183,29183311909,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,31,1,2,2,2,195000,NA,2.875,NA,2,2971.85,NA,1675.5,,50.19,240,NA,NA,2,2,2,2,275000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,28140,MO,29095,29095012600,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,31,1,2,2,2,125000,NA,2.875,NA,2,2479.63,NA,1188,,76.5,240,NA,NA,2,2,2,2,135000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29183,29183311154,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,1,2,1,31,1,2,2,2,225000,NA,2.25,NA,2,2457.72,NA,1188,,1141.22,180,NA,NA,2,2,2,2,425000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29183,29183312095,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,31,1,2,2,2,175000,NA,2.625,NA,2,2663.45,NA,1343.31,655.31,5794.89,240,NA,NA,2,2,2,2,255000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,28140,MO,29095,29095012903,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,31,1,2,2,2,65000,NA,2.5,NA,2,1773.88,NA,0,,538.63,120,NA,NA,2,2,2,2,85000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,28140,MO,29095,29095018100,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,31,1,2,2,2,215000,NA,2.875,NA,2,2577.43,NA,895,,268,240,NA,NA,2,2,2,2,315000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,44180,MO,29077,29077004600,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,2,2,2,1,1,2,2,2,125000,NA,2.625,NA,2,2110.93,NA,0,,,360,NA,NA,2,2,2,2,125000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29099,29099700211,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,2,2,2,1,1,2,2,2,205000,NA,2.875,NA,2,6613.52,NA,1095,,425,360,NA,NA,2,2,2,2,235000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29183,29183312205,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,2,2,3,1,1,2,2,2,495000,NA,2.25,NA,2,2740.86,NA,508,,25,360,NA,NA,2,2,2,2,495000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29189,29189221624,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,31,1,2,2,2,275000,NA,2.75,NA,2,1589.6,NA,1155,,1889,360,NA,NA,2,2,2,2,405000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29189,29189221503,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,31,1,2,2,2,305000,NA,2.75,NA,2,1776.23,NA,1155,,1150,360,NA,NA,2,2,2,2,405000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29113,29113810304,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,32,1,2,2,2,225000,NA,2.75,NA,2,1249.5,NA,800,,,360,NA,NA,2,2,2,2,325000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29183,29183310201,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,31,1,2,2,2,275000,NA,2.875,NA,2,1796.09,NA,1155,,1155,360,NA,NA,2,2,2,2,345000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29183,29183312206,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,31,1,2,2,2,395000,NA,2.75,NA,2,1143.23,NA,600,,,360,NA,NA,2,2,2,2,535000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29099,29099700113,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,2,2,2,31,1,2,2,2,215000,NA,2.875,NA,2,5182.98,NA,1155,,3400,360,NA,NA,2,2,2,2,215000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29113,29113810303,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,31,1,2,2,2,375000,NA,2.625,NA,2,716.29,NA,0,,785.29,360,NA,NA,2,2,2,2,495000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29183,29183311150,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,32,1,2,2,2,125000,NA,2.625,NA,2,1677.5,NA,1155,,300,180,NA,NA,2,2,2,2,285000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29099,29099700109,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,31,1,2,2,2,235000,NA,2.375,NA,2,1689.42,NA,1155,,1155,180,NA,NA,2,2,2,2,335000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29189,29189221503,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,1,2,1,31,1,2,2,2,245000,NA,2.75,NA,2,1691.86,NA,1155,,550,360,NA,NA,2,2,2,2,415000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29183,29183312206,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,31,1,2,2,2,265000,NA,2.375,NA,2,1681.17,NA,1155,,1155,180,NA,NA,2,2,2,2,405000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29189,29189215005,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,32,1,2,2,2,285000,NA,2.875,NA,2,2039.8,NA,1155,,605,360,NA,NA,2,2,2,2,385000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29189,29189217807,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,32,1,2,2,2,315000,NA,3,NA,2,2095.9,NA,1155,,700,360,NA,NA,2,2,2,2,385000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29189,29189221628,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,1,1,2,2,2,255000,NA,2.875,NA,2,3216,NA,1155,,,360,NA,NA,2,2,2,2,315000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29183,29183311122,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,1,2,1,1,1,2,2,2,205000,NA,2.75,NA,2,3393.82,NA,1155,,,360,NA,NA,2,2,2,2,225000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29189,29189217600,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,32,1,2,2,2,455000,NA,2.625,NA,2,1701.5,NA,900,,,180,NA,NA,2,2,2,2,655000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29183,29183311132,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,31,1,2,2,2,125000,NA,2.375,NA,2,1185.61,NA,750,,,180,NA,NA,2,2,2,2,335000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29189,29189216800,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,31,1,2,2,2,265000,NA,2.75,NA,2,1757.19,NA,1155,,1817.19,240,NA,NA,2,2,2,2,505000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29189,29189218012,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,32,1,2,2,2,275000,NA,3,NA,2,1707.74,NA,1155,,1155,360,NA,NA,2,2,2,2,395000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29183,29183311732,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,31,1,2,2,2,295000,NA,2.875,NA,2,1614.45,NA,1155,,3488.17,360,NA,NA,2,2,2,2,355000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29183,29183311422,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,1,2,1,31,1,2,2,2,245000,NA,2.875,NA,2,1463.5,NA,650,,,360,NA,NA,2,2,2,2,275000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29183,29183311904,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,1,2,1,31,1,2,2,2,245000,NA,2.625,NA,2,1554.5,NA,1155,,1985,360,NA,NA,2,2,2,2,345000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29183,29183311122,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,32,1,2,2,2,125000,NA,2.875,NA,2,1706.9,NA,1155,,500,360,NA,NA,2,2,2,2,215000,1,1,3,5,1,NA,NA,NA,9,9,4
